,v1,v2,no_punctuation,to_lowercase,word_tokens,stop_words,word_lemmatize,no_link,text_no_carac
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Im gonna be home soon and i dont want to talk about this stuff anymore tonight k Ive cried enough today,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im gonna be home soon and i dont ', 'ant to talk about this stuff anymore tonight k ive cried enough today']","['im gonna be home soon and i dont ', 'ant to talk about this stuff anymore tonight k ive cried enough today']","['im gonna be home soon and i dont ', 'ant to talk about this stuff anymore tonight k ive cried enough today']","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SIX chances to win CASH From 100 to 20000 pounds txt CSH11 and send to 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,"['six chances to ', 'in cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info']","['six chances to ', 'in cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info']","['six chances to ', 'in cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info']","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
12,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT You have won a 1 week FREE membership in our å£100000 Prize Jackpot Txt the word CLAIM to No 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,urgent you have won a 1 week free membership in our å£100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,"['urgent you have ', 'on a 1 ', 'eek free membership in our å£100000 prize jackpot txt the ', 'ord claim to no 81010 tc ', 'dbuknet lccltd pobox 4403ldn', '1a7r', '18']","['urgent you have ', 'on a 1 ', 'eek free membership in our å£100000 prize jackpot txt the ', 'ord claim to no 81010 tc ', 'dbuknet lccltd pobox 4403ldn', '1a7r', '18']","['urgent you have ', 'on a 1 ', 'eek free membership in our å£100000 prize jackpot txt the ', 'ord claim to no 81010 tc ', 'dbuknet lccltd pobox 4403ldn', '1a7r', '18']","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a 1 week free membership in our å 100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Ive been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['ive been searching for the right ', 'ords to thank you for this breather i promise i ', 'ont take your help for granted and ', 'ill fulfil my promise you have been ', 'onderful and a blessing at all times']","['ive been searching for the right ', 'ords to thank you for this breather i promise i ', 'ont take your help for granted and ', 'ill fulfil my promise you have been ', 'onderful and a blessing at all times']","['ive been searching for the right ', 'ords to thank you for this breather i promise i ', 'ont take your help for granted and ', 'ill fulfil my promise you have been ', 'onderful and a blessing at all times']",I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL,i have a date on sunday with will,"['i have a date on sunday ', 'ith ', 'ill']","['i have a date on sunday ', 'ith ', 'ill']","['i have a date on sunday ', 'ith ', 'ill']",I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,"['xxxmobilemovieclub to use your credit click the ', 'ap link in the next txt message or click here http', 'ap xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub to use your credit click the ', 'ap link in the next txt message or click here http', 'ap xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub to use your credit click the ', 'ap link in the next txt message or click here http', 'ap xxxmobilemovieclubcomnqjkgighjjgcbl']","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>>   xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,ham,Oh k...i'm watching here:),Oh kim watching here,oh kim watching here,"['oh kim ', 'atching here']","['oh kim ', 'atching here']","['oh kim ', 'atching here']",Oh k...i'm watching here:),oh kim watching here
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,"['eh u remember ho', ' 2 spell his name yes i did he v naughty make until i v ', 'et']","['eh u remember ho', ' 2 spell his name yes i did he v naughty make until i v ', 'et']","['eh u remember ho', ' 2 spell his name yes i did he v naughty make until i v ', 'et']",Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name yes i did he v naughty make until i v wet
18,ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,Fine if thatåÕs the way u feel ThatåÕs the way its gota b,fine if thatåõs the way u feel thatåõs the way its gota b,"['fine if thatåõs the ', 'ay u feel thatåõs the ', 'ay its gota b']","['fine if thatåõs the ', 'ay u feel thatåõs the ', 'ay its gota b']","['fine if thatåõs the ', 'ay u feel thatåõs the ', 'ay its gota b']",Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine if thatåõs the way u feel thatåõs the way its gota b
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES SCOTLAND 4txtÌ¼120 POBOXox36504W45WQ 16,england v macedonia  dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,"['england v macedonia  dont miss the goalsteam ne', 's txt ur national team to 87077 eg england to 87077 try', 'ales scotland 4txtì¼120 poboxox36504', '45', 'q 16']","['england v macedonia  dont miss the goalsteam ne', 's txt ur national team to 87077 eg england to 87077 try', 'ales scotland 4txtì¼120 poboxox36504', '45', 'q 16']","['england v macedonia  dont miss the goalsteam ne', 's txt ur national team to 87077 eg england to 87077 try', 'ales scotland 4txtì¼120 poboxox36504', '45', 'q 16']","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16
20,ham,Is that seriously how you spell his name?,Is that seriously how you spell his name,is that seriously how you spell his name,"['is that seriously ho', ' you spell his name']","['is that seriously ho', ' you spell his name']","['is that seriously ho', ' you spell his name']",Is that seriously how you spell his name?,is that seriously how you spell his name
21,ham,IÛ÷m going to try for 2 months ha ha only joking,IÛ÷m going to try for 2 months ha ha only joking,iû÷m going to try for 2 months ha ha only joking,['i\x89û÷m going to try for 2 months ha ha only joking'],['i\x89û÷m going to try for 2 months ha ha only joking'],['i\x89û÷m going to try for 2 months ha ha only joking'],IÛ÷m going to try for 2 months ha ha only joking,i û m going to try for 2 months ha ha only joking
22,ham,So Ì_ pay first lar... Then when is da stock comin...,So Ì pay first lar Then when is da stock comin,so ì pay first lar then when is da stock comin,"['so ì pay first lar then ', 'hen is da stock comin']","['so ì pay first lar then ', 'hen is da stock comin']","['so ì pay first lar then ', 'hen is da stock comin']",So Ì_ pay first lar... Then when is da stock comin...,so ì pay first lar then when is da stock comin
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Aft i finish my lunch then i go str down lor Ard 3 smth lor U finish ur lunch already,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,"['aft i finish my lunch then i go str do', 'n lor ard 3 smth lor u finish ur lunch already']","['aft i finish my lunch then i go str do', 'n lor ard 3 smth lor u finish ur lunch already']","['aft i finish my lunch then i go str do', 'n lor ard 3 smth lor u finish ur lunch already']",Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,Ffffffffff Alright no way I can meet up with you sooner,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff alright no ', 'ay i can meet up ', 'ith you sooner']","['ffffffffff alright no ', 'ay i can meet up ', 'ith you sooner']","['ffffffffff alright no ', 'ay i can meet up ', 'ith you sooner']",Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice Im really not hungry tho This sucks Mark is getting worried He knows Im sick when I turn down pizza Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['just forced myself to eat a slice im really not hungry tho this sucks mark is getting ', 'orried he kno', 's im sick ', 'hen i turn do', 'n pizza lol']","['just forced myself to eat a slice im really not hungry tho this sucks mark is getting ', 'orried he kno', 's im sick ', 'hen i turn do', 'n pizza lol']","['just forced myself to eat a slice im really not hungry tho this sucks mark is getting ', 'orried he kno', 's im sick ', 'hen i turn do', 'n pizza lol']",Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
26,ham,Lol your always so convincing.,Lol your always so convincing,lol your always so convincing,"['lol your al', 'ays so convincing']","['lol your al', 'ays so convincing']","['lol your al', 'ays so convincing']",Lol your always so convincing.,lol your always so convincing
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love ,did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love ,['did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love '],['did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love '],['did you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love '],Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love 
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",Im back amp were packing the car now Ill let you know if theres room,im back amp were packing the car now ill let you know if theres room,"['im back amp ', 'ere packing the car no', ' ill let you kno', ' if theres room']","['im back amp ', 'ere packing the car no', ' ill let you kno', ' if theres room']","['im back amp ', 'ere packing the car no', ' ill let you kno', ' if theres room']","I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp were packing the car now ill let you know if theres room
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work I vaguely remember that What does it feel like Lol,ahhh work i vaguely remember that what does it feel like lol,"['ahhh ', 'ork i vaguely remember that ', 'hat does it feel like lol']","['ahhh ', 'ork i vaguely remember that ', 'hat does it feel like lol']","['ahhh ', 'ork i vaguely remember that ', 'hat does it feel like lol']",Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['', 'ait thats still not all that clear ', 'ere you not sure about me being sarcastic or that thats ', 'hy x doesnt ', 'ant to live ', 'ith us']","['', 'ait thats still not all that clear ', 'ere you not sure about me being sarcastic or that thats ', 'hy x doesnt ', 'ant to live ', 'ith us']","['', 'ait thats still not all that clear ', 'ere you not sure about me being sarcastic or that thats ', 'hy x doesnt ', 'ant to live ', 'ith us']","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You ,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you ,"['yeah he got in at 2 and ', 'as v apologetic n had fallen out and she ', 'as actin like spoilt child and he got caught up in that till 2 but ', 'e ', 'ont go there not doing too badly cheers you ']","['yeah he got in at 2 and ', 'as v apologetic n had fallen out and she ', 'as actin like spoilt child and he got caught up in that till 2 but ', 'e ', 'ont go there not doing too badly cheers you ']","['yeah he got in at 2 and ', 'as v apologetic n had fallen out and she ', 'as actin like spoilt child and he got caught up in that till 2 but ', 'e ', 'ont go there not doing too badly cheers you ']",Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we wont go there not doing too badly cheers you 
32,ham,K tell me anything about you.,K tell me anything about you,k tell me anything about you,['k tell me anything about you'],['k tell me anything about you'],['k tell me anything about you'],K tell me anything about you.,k tell me anything about you
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,"['for fear of fainting ', 'ith the of all that house', 'ork you just did quick have a cuppa']","['for fear of fainting ', 'ith the of all that house', 'ork you just did quick have a cuppa']","['for fear of fainting ', 'ith the of all that house', 'ork you just did quick have a cuppa']",For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5month Please confirm by replying YES or NO If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged å£5month please confirm by replying yes or no if you reply no you will not be charged,"['thanks for your subscription to ringtone uk your mobile ', 'ill be charged å£5month please confirm by replying yes or no if you reply no you ', 'ill not be charged']","['thanks for your subscription to ringtone uk your mobile ', 'ill be charged å£5month please confirm by replying yes or no if you reply no you ', 'ill not be charged']","['thanks for your subscription to ringtone uk your mobile ', 'ill be charged å£5month please confirm by replying yes or no if you reply no you ', 'ill not be charged']",Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged å 5month please confirm by replying yes or no if you reply no you will not be charged
35,ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok i go home look at the timings then i msg Ì again Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am,['yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am'],['yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am'],['yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am'],Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am
36,ham,"Oops, I'll let you know when my roommate's done",Oops Ill let you know when my roommates done,oops ill let you know when my roommates done,"['oops ill let you kno', ' ', 'hen my roommates done']","['oops ill let you kno', ' ', 'hen my roommates done']","['oops ill let you kno', ' ', 'hen my roommates done']","Oops, I'll let you know when my roommate's done",oops ill let you know when my roommates done
37,ham,I see the letter B on my car,I see the letter B on my car,i see the letter b on my car,['i see the letter b on my car'],['i see the letter b on my car'],['i see the letter b on my car'],I see the letter B on my car,i see the letter b on my car
38,ham,Anything lor... U decide...,Anything lor U decide,anything lor u decide,['anything lor u decide'],['anything lor u decide'],['anything lor u decide'],Anything lor... U decide...,anything lor u decide
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello Hows you and how did saturday go I was just texting to see if youd decided to do anything tomo Not that im trying to invite myself or anything,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello ho', 's you and ho', ' did saturday go i ', 'as just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything']","['hello ho', 's you and ho', ' did saturday go i ', 'as just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything']","['hello ho', 's you and ho', ' did saturday go i ', 'as just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything']",Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts I just wanted to be sure Do have a great weekend Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pls go ahead ', 'ith ', 'atts i just ', 'anted to be sure do have a great ', 'eekend abiola']","['pls go ahead ', 'ith ', 'atts i just ', 'anted to be sure do have a great ', 'eekend abiola']","['pls go ahead ', 'ith ', 'atts i just ', 'anted to be sure do have a great ', 'eekend abiola']",Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Did I forget to tell you  I want you  I need you I crave you  But most of all  I love you my sweet Arabian steed  Mmmmmm  Yummy,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,"['did i forget to tell you  i ', 'ant you  i need you i crave you  but most of all  i love you my s', 'eet arabian steed  mmmmmm  yummy']","['did i forget to tell you  i ', 'ant you  i need you i crave you  but most of all  i love you my s', 'eet arabian steed  mmmmmm  yummy']","['did i forget to tell you  i ', 'ant you  i need you i crave you  but most of all  i love you my s', 'eet arabian steed  mmmmmm  yummy']","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
